Aaron,Erin
fourth,forth
frank,franc
freeze,frees,frieze
friar,fryer
fur,fir
gaffe,gaff
gale,Gail
gamble,gambol
gate,gait
gator,gaiter
gauge,gage
gel,jell
gene,Jean
gilder,guilder
gnome,Nome
gopher,gofer
gorilla,guerilla
gourd,gored
grade,grayed
graft,graphed
graham,gram
graze,grays
great,grate
greater,grater
Greece,grease
grill,grille
grizzly,grisly
grown,groan
guest,guessed
guild,gild
guilt,gilt
hail,hale
hair,hare
hall,haul
handmade,handmaid
handsome,hansom
hangar,hanger
have,halve
haze,hays
he'd,heed
he'll,heal,heel
heard,herd
heart,hart
here,hear
heroin,heroine
hey,hay
high,hi
higher,hire
him,hymn
ho,hoe
hold,holed
holy,wholly,holey
hoop,whoop
horde,hoard
horse,hoarse
hose,hoes
hostile,hostel
Hugh,hue,hew
humorous,humerus
hurts,hertz
I,eye,aye
I'd,eyed
I'll,aisle,isle
idle,idol,idyll
illicit,elicit
illusion,allusion
imminent,immanent
impassable,impassible
in,inn
innocence,innocents
innumerable,enumerable
insight,incite
instance,instants
intense,intents
islet,eyelet
its,it's
jam,jamb
jibe,gibe
Jim,gym
jinx,jinks
json,jason
kernel,colonel
knickers,nickers
knit,nit
knock,nock
knows,nose
lacks,lax
laid,lade
lama,llama
lane,lain
laps,lapse,Lapps
latter,ladder
lay,lei
lays,leis,laze
leach,leech
lead,led
leak,leek
lean,lien
least,leased
lee,lea
lens,lends
lesson,lessen
let's,lets
levy,levee
liar,lyre,lier
lie,lye
light,lite
liken,lichen
links,lynx
literal,littoral
load,lode,lowed
loan,lone
loathe,loath
loch,lock
lochs,locks,lox
loot,lute
Lou,lieu
low,lo
lumber,lumbar
made,maid
main,Maine,mane
male,mail
mall,maul
manner,manor
mantle,mantel
mark,marc
martial,marshal
martin,marten
Mary,marry,merry
mast,massed
mat,matte
matter,madder
mayor,mare
maze,maize
mean,mien
meet,meat,mete
metal,medal,meddle,mettle
meteor,meatier
might,mite
mill,mil
mince,mints
mind,mined
minor,miner
missed,mist
missile,missal
moan,mown
moat,mote
mode,mowed
mood,mooed
moose,mousse
morning,mourning
mourn,morn
Mrs,misses
mucus,mucous
mule,mewl
muscle,mussel
muse,mews
must,mussed
mustard,mustered
nap,knap
naval,navel
nave,knave
nay,neigh
need,knead,kneed
new,knew,gnu
nice,gneiss
Nice,niece
night,knight
no,know
none,nun
not,knot
oh,owe
one,won
or,ore,oar
oral,aural
oriole,aureole
our,hour
ours,hours
outcast,outcaste
overdue,overdo
overseas,oversees
owed,ode
packed,pact
paean,peon,paeon
pain,pane
pair,pear,pare
pale,pail
palette,palate,pallet
parish,perish
parley,parlay
past,passed
paste,paced
patients,patience
patted,padded
Paul,pall
pause,paws
peak,peek,pique
peas,pees
pedal,peddle,petal
pee,pea
peel,peal
peer,pier
penance,pennants
per,purr
perl,pearl,purl
pervade,purveyed
Pete,peat
petrol,petrel
pew,pugh
phase,faze
Phil,fill
phrase,frays
picot,pekoe
pie,pi
piece,peace
pigeon,pidgin
pilot,Pilate
pistol,pistil
plane,plain
plaque,plack
plate,plait
please,pleas
plum,plumb
poll,pole
pour,pore
praise,prays,preys
pray,prey
precedence,precedents
premier,premiere
presence,presents
pride,pried
primer,primmer
prince,prints
principle,principal
profit,prophet
pros,prose
pull,pool
quartz,quarts
queue,cue
queues,cues
quince,quints
rabbit,rabbet
rack,wrack
rain,reign,rein
raise,rays,raze
read,red
read,reed
real,reel
residents,residence
rest,wrest
review,revue
right,write,rite
rights,writes,rites
rigor,rigger
ring,wring
road,rode,rowed
roads,rhodes
role,roll
Rome,roam
room,rheum
rose,rows
rot,wrought
rough,ruff
route,root
row,roe
rude,rued
rue,roux
rumor,roomer
rung,wrung
Russell,rustle
rye,wry
sachet,sashay
sack,sac
sacks,sax
sale,sail
sane,seine
saver,savor
scalar,scaler
see,sea
seed,cede
seem,seam
seen,scene
seer,sear,sere
sees,seize,seas
sell,cell
seller,cellar
sense,cents,scents
sensor,censor
sent,cent,scent
serial,cereal
series,Ceres
session,cession
sewing,sowing
sheer,shear
shoe,shoo
shoot,chute
shown,shone
sick,sic
side,sighed
signet,cygnet
sink,sync
sinking,syncing
site,sight,cite
size,sighs
skull,scull
slay,sleigh
slew,slough,slue
slight,sleight
slow,sloe
so,sow,sew
sold,soled
some,sum
son,sun
sore,soar
sorry,sari
soul,sole
spade,spayed
stake,steak
stare,stair
stationary,stationery
stayed,staid
steel,steal
step,steppe
straight,strait
straightened,straitened
style,stile
sue,Sioux
suit,soot
summary,summery
Sunday,sundae
surf,serf
surge,serge
swayed,suede
sweet,suite
sword,soared
symbol,cymbal
tacked,tact
tale,tail
talk,tock
taper,tapir
taught,taut
taupe,tope
tax,tacks
tea,tee
team,teem
tear,tare
tear,tier
tease,teas,tees
tens,tends
tense,tents
terry,tarry
than,then
the,thee
their,there,they're
there's,theirs
through,threw
thrown,throne
throws,throes
tick,tic
tie,Thai
tied,tide
Tigris,tigress
timber,timbre
time,thyme
to,two,too
toe,tow
told,tolled
tool,tulle
tort,torte
torturous,tortuous
towed,toad,toed
tracked,tract
trader,traitor
troop,troupe
trust,trussed
tucks,tux
turbine,turban
turn,tern
tutor,Tudor,tooter
undo,undue
use,ewes,yews
utter,udder
vain,vein,vane
valence,valance
variants,variance
veil,vale
vein,vane
Venus,venous
versus,verses
very,vary
vice,vise
vile,vial
wade,weighed
wait,weight
waiter,wader
Wales,whales,wails
walk,wok
want,wont
war,wore
ward,word
waste,waist
wave,waive
wax,whacks
way,weigh,whey
Wayne,wane,wain
ways,weighs
we,wee
we'd,weed
we'll,wheel
we've,weave
wears,where's,wares
week,weak
weekly,weakly
were,whir,we're
wet,whet
whale,wail,wale
wheeled,wield
where,wear,ware
whether,weather,wether
whether,weather
which,witch
while,wile
whoa,woe
whole,hole
whose,who's
wind,whined,wined
wine,whine
with,width
word,whirred
world,whirled,whorled
worn,warn
would,wood
wrap,rap
wrapped,rapped,rapt
wrapper,rapper
wreak,reek
wretch,retch
wrote,rote
yoke,yolk
you,yew,ewe
you'll,Yule
your,you're,yore
